	City	Cloudiness	Country	Humidity	Max_Temp	Wind_speed	date	lat	lng
0	yanam	92	IN	95	75.8	14.03	1535238427	16.73	82.22
1	koubia	92	GN	98	67.07	2.51	1535238427	11.59	-11.89
2	alihe	92	CN	85	64.19	3.51	1535238404	50.57	123.73
3	east london	44	ZA	94	68.87	13.02	1535238161	-33.02	27.91
4	lagoa	0	PT	25	84.2	5.82	1535236200	37.14	-8.45
5	nabire	80	ID	93	71.21	1.16	1535238428	-3.36	135.5
6	tasiilaq	88	GL	100	41.87	0.04	1535238404	65.61	-37.64
7	stelle	40	US	67	88.16	9.17	1535236500	40.95	-88.15
8	bluff	44	AU	71	68.69	4.52	1535238344	-23.58	149.07
9	manisa	0	TR	88	73.4	2.24	1535235600	38.62	27.43
10	esperance	20	TT	74	84.2	12.75	1535234400	10.24	-61.45
11	lazaro cardenas	40	MX	35	86.0	4.7	1535233560	28.39	-105.62
12	kamenka	0	RU	81	52.13	3.4	1535238429	53.19	44.05
13	hobart	75	AU	61	48.2	13.87	1535236200	-42.88	147.33
14	vikulovo	0	RU	84	52.4	3.4	1535238430	55.07	40.96
15	atuona	100	PF	100	78.86	19.62	1535238075	-9.8	-139.03
16	albany	75	US	50	77.0	10.29	1535237460	42.65	-73.75
17	lusambo	44	CD	95	71.21	2.06	1535238430	-4.97	23.44
18	klaksvik	92	FO	87	46.4	4.7	1535235600	62.23	-6.59
19	jamestown	8	AU	64	52.85	3.96	1535238431	-33.21	138.6
20	turmalina	88	BR	46	76.34	9.1	1535238266	-17.29	-42.73
21	saint-augustin	90	FR	82	62.6	4.7	1535236200	44.83	-0.61
22	ushuaia	75	AR	80	39.2	4.7	1535238000	-54.81	-68.31
23	busselton	88	AU	100	53.39	8.21	1535238288	-33.64	115.35
24	kalmunai	80	LK	99	73.28	2.95	1535238432	7.42	81.82
25	gazojak	0	TM	74	55.91	3.06	1535238432	41.19	61.4
26	hermanus	92	ZA	99	45.29	11.79	1535238305	-34.42	19.24
27	rikitea	0	PF	100	72.83	13.8	1535238293	-23.12	-134.97
28	yozgat	0	TR	65	60.32	5.97	1535238432	39.82	34.81
29	verkhniy lomov	0	RU	81	52.13	3.4	1535238433	53.47	43.56
30	norman wells	90	CA	93	51.8	2.24	1535234400	65.28	-126.83
31	vila franca do campo	40	PT	78	71.6	10.29	1535236200	37.72	-25.43
32	carnarvon	0	ZA	79	36.92	13.69	1535238366	-30.97	22.13
33	whitehorse	75	CA	62	57.2	4.7	1535236740	60.72	-135.06
34	puerto ayora	75	EC	61	78.8	14.99	1535234400	-0.74	-90.35
35	namibe	0	AO	100	64.19	10.45	1535238373	-15.19	12.15
36	barrow	0	AR	47	37.46	3.06	1535238391	-38.31	-60.23
37	avarua	20	CK	74	80.6	8.05	1535234400	-21.21	-159.78
38	mataura	0	NZ	76	55.73	17.72	1535238353	-46.19	168.86
39	chokurdakh	92	RU	94	44.03	8.43	1535238434	70.62	147.9
40	bilibino	80	RU	80	36.92	3.4	1535238434	68.06	166.44
41	castro	92	CL	97	49.88	8.66	1535238359	-42.48	-73.76
42	luderitz	0	NA	89	50.15	4.41	1535238352	-26.65	15.16
43	port alfred	0	ZA	95	59.96	7.54	1535238349	-33.59	26.89
44	mount isa	0	AU	36	60.8	6.93	1535236200	-20.73	139.49
45	saint-philippe	1	CA	44	82.4	5.82	1535236500	45.36	-73.48
46	magistralnyy	0	RU	93	54.65	3.06	1535238435	56.17	107.45
47	leisure city	1	US	65	89.06	11.41	1535237100	37.49	-88.44
48	nurobod	0	UZ	29	66.2	4.7	1535236200	40.91	69.8
49	punta arenas	75	CL	75	42.8	10.29	1535234400	-53.16	-70.91
50	new norfolk	75	AU	61	48.2	13.87	1535236200	-42.78	147.06
51	sao filipe	8	CV	98	79.04	7.09	1535238342	14.9	-24.5
52	sao jose da coroa grande	92	BR	92	74.09	10.56	1535238436	-8.9	-35.15
53	kirensk	0	RU	96	53.93	3.4	1535238437	57.78	108.12
54	lebu	20	ET	90	43.49	2.62	1535238355	8.96	38.73
55	bambous virieux	75	MU	69	73.4	14.99	1535234400	-20.34	57.76
56	riviere-au-renard	40	CA	54	78.8	3.36	1535234400	49.0	-64.4
57	tiarei	75	PF	65	82.4	9.17	1535236200	-17.53	-149.33
58	lasa	40	CY	74	78.8	4.7	1535236200	34.92	32.53
59	vostok	88	RU	98	54.47	2.73	1535238438	46.45	135.83
60	victoria	75	BN	88	80.6	5.19	1535236200	5.28	115.24
61	vardo	5	US	51	82.4	3.51	1535237220	39.62	-77.74
62	tuatapere	0	NZ	84	53.3	19.73	1535238352	-46.13	167.69
63	flinders	90	AU	87	51.8	10.29	1535234400	-34.58	150.85
64	ler	75	NO	81	50.0	13.87	1535235600	63.2	10.3
65	antigua ocotepeque	40	HN	55	86.0	9.17	1535234400	14.4	-89.2
66	dingle	76	PH	79	81.2	5.53	1535238371	11.0	122.67
67	alice springs	0	AU	45	46.4	5.82	1535236200	-23.7	133.88
68	clyde river	75	CA	80	41.0	19.46	1535234400	70.47	-68.59
69	baracoa	56	CU	97	81.47	11.12	1535238439	20.35	-74.5
70	aswan	0	EG	17	91.4	11.41	1535234400	24.09	32.9
71	port hardy	75	CA	77	62.6	11.41	1535234400	50.7	-127.42
72	la ronge	90	CA	76	50.0	9.17	1535234400	55.1	-105.3
73	fortuna	0	ES	69	80.6	9.17	1535236200	38.18	-1.13
74	pisco	0	PE	30	71.6	8.05	1535234400	-13.71	-76.2
75	arraial do cabo	75	BR	88	71.6	3.36	1535234400	-22.97	-42.02
76	khatanga	20	RU	76	52.4	13.47	1535238441	71.98	102.47
77	cape town	75	ZA	71	50.0	19.46	1535234400	-33.93	18.42
78	yellowknife	75	CA	71	51.8	11.41	1535234400	62.45	-114.38
79	lianzhou	56	CN	78	74.9	3.62	1535238442	24.79	112.38
80	hilo	90	US	96	75.02	4.7	1535234760	19.71	-155.08
81	nikolskoye	90	RU	93	59.0	13.42	1535236200	59.7	30.79
82	berlevag	12	NO	92	51.95	17.49	1535238442	70.86	29.09
83	hasaki	75	JP	79	84.2	2.24	1535236200	35.73	140.83
84	dunkwa	88	GH	92	72.11	5.19	1535238442	5.97	-1.78
85	killybegs	92	IE	100	53.48	8.99	1535238443	54.63	-8.45
86	hithadhoo	36	MV	100	80.3	7.43	1535238339	-0.6	73.08
87	lompoc	90	US	82	80.6	10.29	1535236500	34.64	-120.46
88	lady frere	8	ZA	22	54.92	11.56	1535238443	-31.7	27.23
89	namatanai	12	PG	98	83.45	2.51	1535238381	-3.66	152.44
90	kapaa	90	US	100	86.0	24.16	1535236920	22.08	-159.32
91	medicine hat	20	CA	32	69.8	7.2	1535234400	50.04	-110.68
92	geraldton	90	CA	82	66.2	5.82	1535234400	49.72	-86.95
93	constitucion	75	MX	28	80.6	8.05	1535233200	23.99	-104.67
94	arcelia	56	MX	76	75.62	2.62	1535238184	18.32	-100.28
95	port elizabeth	1	US	68	78.98	5.82	1535237700	39.31	-74.98
96	rognan	40	NO	93	48.2	6.93	1535233800	67.1	15.4
97	saskylakh	0	RU	90	47.99	5.97	1535238387	71.97	114.09
98	bethel	90	US	80	57.02	9.17	1535233980	60.79	-161.76
